STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO,FRC_STOR_CO,SIGNGU_CD_NM
20253,R,전통시장,3130310,강남개포시장,CS200028,미용실,15.0,17.0,0.0,0.0,6.0,1.0,2.0,강남구
20253,R,전통시장,3130308,청담삼익시장,CS200028,미용실,5.0,5.0,0.0,0.0,0.0,0.0,0.0,강남구
20253,R,전통시장,3130307,도곡시장,CS200028,미용실,1.0,1.0,0.0,0.0,0.0,0.0,0.0,강남구
20253,R,전통시장,3130326,고덕 골목형상점가,CS200028,미용실,13.0,18.0,6.0,1.0,0.0,0.0,5.0,강동구
20253,R,전통시장,3130325,명일전통시장,CS200028,미용실,7.0,7.0,0.0,0.0,0.0,0.0,0.0,강동구
20253,R,전통시장,3130324,길동복조리시장,CS200028,미용실,8.0,8.0,0.0,0.0,0.0,0.0,0.0,강동구
20253,R,전통시장,3130143,방천골목시장,CS200028,미용실,4.0,5.0,0.0,0.0,0.0,0.0,1.0,강북구
20253,R,전통시장,3130141,강북북부골목시장,CS200028,미용실,9.0,9.0,0.0,0.0,0.0,0.0,0.0,강북구
20253,R,전통시장,3130140,숭인시장,CS200028,미용실,4.0,5.0,0.0,0.0,0.0,0.0,1.0,강북구
20253,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",CS200028,미용실,17.0,17.0,0.0,0.0,0.0,0.0,0.0,강서구
20253,R,전통시장,3130219,까치산시장,CS200028,미용실,11.0,12.0,0.0,0.0,0.0,0.0,1.0,강서구
20253,R,전통시장,3130218,신월중앙시장,CS200028,미용실,1.0,1.0,0.0,0.0,0.0,0.0,0.0,강서구
20253,R,전통시장,3130295,인헌시장(원당종합시장),CS200028,미용실,13.0,14.0,7.0,1.0,0.0,0.0,1.0,관악구
20253,R,전통시장,3130294,관악중부시장,CS200028,미용실,12.0,14.0,0.0,0.0,0.0,0.0,2.0,관악구
20253,R,전통시장,3130293,봉천중앙시장,CS200028,미용실,1.0,1.0,0.0,0.0,0.0,0.0,0.0,관악구
20253,R,전통시장,3130083,"중곡제일시장(중곡제일골목시장, 광성시장)",CS200028,미용실,9.0,9.0,0.0,0.0,0.0,0.0,0.0,광진구
20253,R,전통시장,3130082,면곡골목시장,CS200028,미용실,2.0,2.0,0.0,0.0,0.0,0.0,0.0,광진구
20253,R,전통시장,3130081,자양골목전통시장(자양골목시장),CS200028,미용실,7.0,7.0,0.0,0.0,0.0,0.0,0.0,광진구
20253,R,전통시장,3130230,가리봉시장,CS200028,미용실,3.0,3.0,0.0,0.0,0.0,0.0,0.0,구로구
20253,R,전통시장,3130229,남구로시장,CS200028,미용실,5.0,5.0,20.0,1.0,0.0,0.0,0.0,구로구
20253,R,전통시장,3130228,구로시장,CS200028,미용실,1.0,1.0,0.0,0.0,0.0,0.0,0.0,구로구
20253,R,전통시장,3130238,은행나무시장,CS200028,미용실,6.0,6.0,0.0,0.0,0.0,0.0,0.0,금천구
20253,R,전통시장,3130236,비단길현대시장(현대시장),CS200028,미용실,18.0,19.0,0.0,0.0,0.0,0.0,1.0,금천구
20253,R,전통시장,3130235,대명여울빛거리시장(대명시장),CS200028,미용실,2.0,2.0,0.0,0.0,0.0,0.0,0.0,금천구
20253,R,전통시장,3130159,공릉동 도깨비시장,CS200028,미용실,7.0,8.0,0.0,0.0,0.0,0.0,1.0,노원구
20253,R,전통시장,3130157,상계중앙시장,CS200028,미용실,11.0,11.0,0.0,0.0,0.0,0.0,0.0,노원구
20253,R,전통시장,3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),CS200028,미용실,4.0,4.0,0.0,0.0,0.0,0.0,0.0,노원구
